player_name,team_id,team_name,runs,strike_rate,wickets,economy
"R Ravindra",103,"New Zealand",263,106.47,3,4.66
"GD Phillips",103,"New Zealand",177,114.93,2,6.89
"Azmatullah Omarzai",105,Afghanistan,126,104.13,7,6.72
"AR Patel",101,India,109,74.14,5,4.35
"Khushdil Shah",108,Pakistan,107,121.59,1,5.72
"HH Pandya",101,India,99,106.45,4,5.83
"MG Bracewell",103,"New Zealand",82,118.84,8,4.10
"M Labuschagne",104,Australia,76,93.82,2,8.20
"JC Archer",106,England,60,122.44,6,6.93
"Mohammad Nabi",105,Afghanistan,49,116.66,4,5.76
"Rishad Hossain",107,Bangladesh,44,118.91,3,5.00
"J Overton",106,England,43,89.58,1,7.06
"GJ Maxwell",104,Australia,39,195.00,2,6.31
"MJ Santner",103,"New Zealand",38,90.47,9,4.80
"Rashid Khan",105,Afghanistan,38,122.58,1,6.25
"LS Livingstone",106,England,33,82.50,3,6.52
"Naseem Shah",108,Pakistan,27,87.09,2,5.55
"RA Jadeja",101,India,27,100.00,5,4.35
"Haris Rauf",108,Pakistan,27,158.82,2,7.94
"PWA Mulder",102,"South Africa",20,105.26,6,4.88
"BJ Dwarshuis",104,Australia,19,65.51,7,5.84
"Gulbadin Naib",105,Afghanistan,18,52.94,1,6.44
"K Rabada",102,"South Africa",16,72.72,6,5.80
"Noor Ahmad",105,Afghanistan,15,65.21,1,6.19
"Shaheen Shah Afridi",108,Pakistan,14,100.00,2,7.88
"Taskin Ahmed",107,Bangladesh,13,50.00,2,4.00
"NT Ellis",104,Australia,10,142.85,3,5.33
"KA Jamieson",103,"New Zealand",9,225.00,3,5.51
"BA Carse",106,England,8,114.28,1,9.85
"AU Rashid",106,England,8,47.05,3,5.33
"A Zampa",104,Australia,7,58.33,6,6.14
"Mohammed Shami",101,India,5,62.50,9,5.68
"M Jansen",102,"South Africa",3,37.50,4,6.00
"Mustafizur Rahman",107,Bangladesh,3,42.85,2,5.47
"MJ Henry",103,"New Zealand",2,50.00,10,5.32
"MA Wood",106,England,2,66.66,1,7.14
"KA Maharaj",102,"South Africa",1,25.00,3,4.86
"L Ngidi",102,"South Africa",1,50.00,6,6.44
"Kuldeep Yadav",101,India,1,100.00,7,4.79
"C Connolly",104,Australia,0,0.00,1,4.62
"NG Smith",103,"New Zealand",0,0.00,1,10.50
"Nahid Rana",107,Bangladesh,0,0.00,1,4.77
"Abrar Ahmed",108,Pakistan,0,0.00,2,3.75
"Fazalhaq Farooqi",105,Afghanistan,0,0.00,2,7.28
